appid,nombre,genero_steamspy,tags,owners_estimado,promedio_horas,precio,hltb_name,main_story,main_extra,completionist
2623190,The Elder Scrolls IV: Oblivion Remastered,RPG,[],"2,000,000 .. 5,000,000",0,4999,The Elder Scrolls IV: Oblivion Remastered,17.43,52.42,93.39
1716740,Starfield,RPG,[],"2,000,000 .. 5,000,000",0,4999,Starfield,23.89,74.63,150.07
20920,The Witcher 2: Assassins of Kings Enhanced Edition,RPG,[],"2,000,000 .. 5,000,000",0,1999,,,,
286160,Tabletop Simulator,RPG,[],"2,000,000 .. 5,000,000",0,1999,Tabletop Simulator,9.86,147.94,1224.61
355840,Survarium,RPG,[],"2,000,000 .. 5,000,000",0,0,Survarium,0.0,0.0,0.0
1145350,Hades II,RPG,[],"2,000,000 .. 5,000,000",0,2099,Hades II,30.71,52.46,104.15
212500,The Lord of the Rings Online,RPG,[],"2,000,000 .. 5,000,000",0,0,The Lord of the Rings Online,125.2,266.9,1698.2
356190,Middle-earth: Shadow of War,RPG,[],"2,000,000 .. 5,000,000",0,4999,Middle-Earth: Shadow of War,21.0,36.52,56.97
8500,EVE Online,RPG,[],"2,000,000 .. 5,000,000",0,0,Eve Online,1776.88,3177.16,5680.94
7670,BioShock,RPG,[],"2,000,000 .. 5,000,000",0,1999,BioShock,12.11,15.63,23.26
1203620,Enshrouded,RPG,[],"2,000,000 .. 5,000,000",0,2999,Enshrouded,48.39,68.74,77.51
397540,Borderlands 3,RPG,[],"2,000,000 .. 5,000,000",0,5999,Borderlands 3,23.41,46.38,84.94
1832640,Mirror 2: Project X,RPG,[],"2,000,000 .. 5,000,000",0,199,Mirror 2: Project X,3.3,3.98,8.55
200710,Torchlight II,RPG,[],"2,000,000 .. 5,000,000",0,1999,Torchlight II,20.72,29.79,80.21
203770,Crusader Kings II,RPG,[],"2,000,000 .. 5,000,000",0,0,Crusader Kings II,67.06,246.22,421.46
1903340,Clair Obscur: Expedition 33,RPG,[],"2,000,000 .. 5,000,000",0,4799,Clair Obscur: Expedition 33,29.25,45.91,68.44
261640,Borderlands: The Pre-Sequel,RPG,[],"2,000,000 .. 5,000,000",0,3999,Borderlands: The Pre-Sequel!,18.12,29.42,60.91
20900,The Witcher: Enhanced Edition Director's Cut,RPG,[],"2,000,000 .. 5,000,000",0,999,,,,
552500,Warhammer: Vermintide 2,RPG,[],"2,000,000 .. 5,000,000",0,299,Warhammer: Vermintide 2,10.83,28.86,127.12
359320,Elite Dangerous,RPG,[],"2,000,000 .. 5,000,000",0,1999,Elite: Dangerous,113.63,271.24,641.75
1771300,Kingdom Come: Deliverance II,RPG,[],"2,000,000 .. 5,000,000",0,5999,Kingdom Come: Deliverance II,55.31,99.52,144.1
99900,Spiral Knights,RPG,[],"2,000,000 .. 5,000,000",0,0,Spiral Knights,48.45,116.33,453.32
409710,BioShock Remastered,RPG,[],"2,000,000 .. 5,000,000",0,1999,BioShock,12.11,15.63,23.26
379430,Kingdom Come: Deliverance,RPG,[],"2,000,000 .. 5,000,000",0,2999,Kingdom Come: Deliverance,42.7,81.02,136.47
1151340,Fallout 76,RPG,[],"2,000,000 .. 5,000,000",0,3999,Fallout 76,36.28,117.24,308.24
213670,South Park: The Stick of Truth,RPG,[],"2,000,000 .. 5,000,000",0,2999,South Park: The Stick of Truth,11.4,14.73,21.19
224600,Defiance,RPG,[],"2,000,000 .. 5,000,000",0,0,Defiance,33.2,42.01,4500.0
335300,DARK SOULS II: Scholar of the First Sin,RPG,[],"2,000,000 .. 5,000,000",0,3999,Dark Souls II: Scholar of the First Sin,35.52,61.09,102.29
233860,Kenshi,RPG,[],"2,000,000 .. 5,000,000",0,1199,Kenshi,81.39,134.32,273.7
838350,The Scroll of Taiwu : Beyond The Dome,RPG,[],"2,000,000 .. 5,000,000",0,2999,,,,
1158310,Crusader Kings III,RPG,[],"2,000,000 .. 5,000,000",0,4999,Crusader Kings III,72.56,157.62,585.79
617290,Remnant: From the Ashes,RPG,[],"2,000,000 .. 5,000,000",0,3999,Remnant: From the Ashes,13.24,20.92,59.05
588430,Fallout Shelter,RPG,[],"2,000,000 .. 5,000,000",0,0,Fallout Shelter,18.41,52.96,96.72
1056640,Phantasy Star Online 2,RPG,[],"2,000,000 .. 5,000,000",0,0,Phantasy Star Online 2,380.0,1192.75,1500.0
1942280,Brotato,RPG,[],"2,000,000 .. 5,000,000",0,299,Brotato,5.59,22.99,65.67
38400,Fallout: A Post Nuclear Role Playing Game,RPG,[],"2,000,000 .. 5,000,000",0,999,Fallout,16.2,22.89,32.07
881020,Granblue Fantasy: Relink,RPG,[],"2,000,000 .. 5,000,000",0,3999,Granblue Fantasy: Relink,15.58,31.86,129.91
65800,Dungeon Defenders,RPG,[],"2,000,000 .. 5,000,000",0,1499,Dungeon Defenders,14.49,61.66,459.29
372000,Tree of Savior (English Ver.),RPG,[],"2,000,000 .. 5,000,000",0,0,,,,
367500,Dragon's Dogma: Dark Arisen,RPG,[],"2,000,000 .. 5,000,000",0,479,Dragon's Dogma: Dark Arisen,32.69,52.9,113.28
2399830,ARK: Survival Ascended,RPG,[],"2,000,000 .. 5,000,000",0,4499,ARK: Survival Ascended,276.52,415.95,349.35
524220,NieR:Automata,RPG,[],"2,000,000 .. 5,000,000",0,3999,NieR: Automata,21.27,37.58,61.3
475150,Titan Quest Anniversary Edition,RPG,[],"2,000,000 .. 5,000,000",0,1999,Titan Quest: Anniversary Edition,30.82,46.27,119.79
550900,Metin2,RPG,[],"2,000,000 .. 5,000,000",0,0,Metin2,103.43,191.67,966.67
1468810,鬼谷八荒 Tale of Immortal,RPG,[],"2,000,000 .. 5,000,000",0,1299,,,,
1272080,PAYDAY 3,RPG,[],"2,000,000 .. 5,000,000",0,1499,Payday 3,7.36,19.64,79.43
881100,Noita,RPG,[],"2,000,000 .. 5,000,000",0,1999,Noita,26.56,83.12,153.54
1361210,"Warhammer 40,000: Darktide",RPG,[],"2,000,000 .. 5,000,000",0,999,"Warhammer 40,000: Darktide",27.52,69.62,205.38
1254120,Bless Unleashed,RPG,[],"2,000,000 .. 5,000,000",0,0,Bless Unleashed,190.0,300.0,625.74
201790,Orcs Must Die! 2,RPG,[],"2,000,000 .. 5,000,000",0,1499,Orcs Must Die! 2,8.17,20.2,41.18
107100,Bastion,RPG,[],"2,000,000 .. 5,000,000",0,1499,Bastion,6.24,9.26,20.5
740130,Tales of ARISE,RPG,[],"2,000,000 .. 5,000,000",0,4999,Tales of Arise,41.0,56.54,74.12
17390,SPORE,RPG,[],"2,000,000 .. 5,000,000",0,1999,Spore,12.45,29.03,102.99
2622380,ELDEN RING NIGHTREIGN,RPG,[],"2,000,000 .. 5,000,000",0,3999,Elden Ring: Nightreign,28.31,40.64,67.51
1217060,Gunfire Reborn,RPG,[],"2,000,000 .. 5,000,000",0,1999,Gunfire Reborn,13.53,40.46,99.67
1520470,封灵档案,RPG,[],"2,000,000 .. 5,000,000",0,0,Soul Dossier,0.0,0.0,0.0
644560,Mirror,RPG,[],"2,000,000 .. 5,000,000",0,199,Mirror,6.28,8.96,14.31
407530,ARK: Survival Of The Fittest,RPG,[],"2,000,000 .. 5,000,000",0,449,ARK: Survival of the Fittest,51.5,0.0,55.25
279720,The I of the Dragon,RPG,[],"2,000,000 .. 5,000,000",0,319,The I of the Dragon,20.83,23.0,41.12
388410,Darksiders II Deathinitive Edition,RPG,[],"2,000,000 .. 5,000,000",0,2999,Darksiders II: Deathinitive Edition,19.83,29.72,53.07
1845910,Dragon Age: The Veilguard,RPG,[],"2,000,000 .. 5,000,000",0,5999,Dragon Age: The Veilguard,28.61,61.97,78.31
236110,Dungeon Defenders II,RPG,[],"2,000,000 .. 5,000,000",0,0,Dungeon Defenders II,22.48,57.58,142.83
1399780,Spellbreak,RPG,[],"2,000,000 .. 5,000,000",0,0,Spellbreak,0.55,4.5,22.68
632470,Disco Elysium - The Final Cut,RPG,[],"2,000,000 .. 5,000,000",0,3999,,,,
212070,Star Conflict,RPG,[],"2,000,000 .. 5,000,000",0,0,Star Conflict,0.0,792.0,0.0
1284210,Guild Wars 2,RPG,[],"2,000,000 .. 5,000,000",0,0,Guild Wars 2,83.26,287.68,1841.9
485510,Nioh: Complete Edition,RPG,[],"2,000,000 .. 5,000,000",0,4999,Nioh: Complete Edition,41.97,73.0,143.0
495420,State of Decay 2: Juggernaut Edition,RPG,[],"2,000,000 .. 5,000,000",0,2999,State of Decay 2,16.14,32.61,138.18
9900,Star Trek Online,RPG,[],"2,000,000 .. 5,000,000",0,0,Star Trek Online,207.02,344.35,1077.09
1643320,S.T.A.L.K.E.R. 2: Heart of Chornobyl,RPG,[],"2,000,000 .. 5,000,000",0,5999,S.T.A.L.K.E.R. 2: Heart of Chornobyl,37.23,70.42,131.0
268420,Aura Kingdom,RPG,[],"2,000,000 .. 5,000,000",0,0,Aura Kingdom,445.66,700.0,9341.75
22370,Fallout 3: Game of the Year Edition,RPG,[],"2,000,000 .. 5,000,000",0,1999,Fallout 3: Game of the Year Edition,26.34,58.02,106.29
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,RPG,[],"2,000,000 .. 5,000,000",0,1999,,,,
640820,Pathfinder: Kingmaker — Enhanced Plus Edition,RPG,[],"2,000,000 .. 5,000,000",0,1999,,,,
637650,FINAL FANTASY XV WINDOWS EDITION,RPG,[],"2,000,000 .. 5,000,000",0,3499,Final Fantasy XV: Royal Edition,27.52,56.57,116.82
337000,Deus Ex: Mankind Divided,RPG,[],"2,000,000 .. 5,000,000",0,2999,Deus Ex: Mankind Divided,16.07,31.01,52.87
238010,Deus Ex: Human Revolution - Director's Cut,RPG,[],"2,000,000 .. 5,000,000",0,1999,Deus Ex: Human Revolution - Director's Cut,22.99,31.09,46.51
527230,For The King,RPG,[],"2,000,000 .. 5,000,000",0,1999,For The King,11.94,34.58,75.14
39120,RIFT,RPG,[],"2,000,000 .. 5,000,000",0,0,Rift,105.64,201.4,620.5
2054970,Dragon's Dogma 2,RPG,[],"2,000,000 .. 5,000,000",0,3999,Dragon's Dogma II,31.45,56.57,93.6
368260,Marvel's Midnight Suns,RPG,[],"2,000,000 .. 5,000,000",0,5999,Marvel's Midnight Suns,40.5,65.83,96.75
409720,BioShock 2 Remastered,RPG,[],"2,000,000 .. 5,000,000",0,1999,BioShock 2,10.58,14.42,23.72
1371980,No Rest for the Wicked,RPG,[],"2,000,000 .. 5,000,000",0,3999,No Rest for the Wicked,20.95,30.12,43.06
1277400,Monster Hunter Stories 2: Wings of Ruin,RPG,[],"2,000,000 .. 5,000,000",0,1479,Monster Hunter Stories 2: Wings of Ruin,41.36,60.2,142.6
8980,Borderlands Game of the Year,RPG,[],"2,000,000 .. 5,000,000",0,2999,Borderlands: Game of the Year,20.54,35.85,74.31
1343400,RuneScape ,RPG,[],"2,000,000 .. 5,000,000",0,0,,,,
234650,Shadowrun Returns,RPG,[],"2,000,000 .. 5,000,000",0,1499,Shadowrun Returns,11.6,14.4,17.77
744900,Dead Frontier 2,RPG,[],"2,000,000 .. 5,000,000",0,0,Dead Frontier II,0.0,0.0,0.0
630100,SoulWorker - Anime Action MMO,RPG,[],"2,000,000 .. 5,000,000",0,0,,,,
788100,Neon Abyss,RPG,[],"2,000,000 .. 5,000,000",0,1999,Neon Abyss,11.37,34.14,63.05
858820,Tribes of Midgard,RPG,[],"2,000,000 .. 5,000,000",0,1999,Tribes of Midgard,15.96,30.74,57.27
680420,OUTRIDERS,RPG,[],"2,000,000 .. 5,000,000",0,1999,Outriders,16.36,35.81,62.64
678960,CODE VEIN,RPG,[],"2,000,000 .. 5,000,000",0,599,Code Vein,26.7,35.4,63.03
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",RPG,[],"2,000,000 .. 5,000,000",0,1124,"Warhammer 40,000: Chaos Gate - Daemonhunters",27.95,56.16,70.67
206440,To the Moon,RPG,[],"2,000,000 .. 5,000,000",0,999,To the Moon,4.12,4.53,4.63
212160,Vindictus,RPG,[],"2,000,000 .. 5,000,000",0,0,Vindictus,512.38,545.0,1000.0
22330,The Elder Scrolls IV: Oblivion Game of the Year Edition (2009),RPG,[],"2,000,000 .. 5,000,000",0,1499,,,,
1687950,Persona 5 Royal,RPG,[],"2,000,000 .. 5,000,000",0,5999,Persona 5 Royal,101.28,122.74,140.63
389430,Knight Online,RPG,[],"2,000,000 .. 5,000,000",0,0,Knight Online,0.0,0.0,8645.2
289130,ENDLESS Legend,RPG,[],"2,000,000 .. 5,000,000",0,2999,Endless Legend,15.48,33.5,267.19
488790,South Park: The Fractured But Whole,RPG,[],"2,000,000 .. 5,000,000",0,599,South Park: The Fractured But Whole,18.19,22.57,28.25
439190,Stories: The Path of Destinies,RPG,[],"2,000,000 .. 5,000,000",0,1499,Stories: The Path Of Destinies,5.21,7.42,20.17
32370,STAR WARS Knights of the Old Republic,RPG,[],"2,000,000 .. 5,000,000",0,999,Star Wars: Knights of the Old Republic,29.01,36.57,48.96
1619450,Heart of a Warrior,RPG,[],"2,000,000 .. 5,000,000",0,1099,,,,
2322010,God of War Ragnarök,RPG,[],"1,000,000 .. 2,000,000",0,5999,God of War: Ragnarök,26.54,40.67,55.59
1286680,Tiny Tina's Wonderlands,RPG,[],"1,000,000 .. 2,000,000",0,2999,Tiny Tina's Wonderlands,16.07,28.92,52.25
39500,Gothic 3,RPG,[],"1,000,000 .. 2,000,000",0,1999,Gothic 3,45.06,67.51,110.83
291650,Pillars of Eternity,RPG,[],"1,000,000 .. 2,000,000",0,2999,Pillars of Eternity,36.33,64.21,110.74
606280,Darksiders III,RPG,[],"1,000,000 .. 2,000,000",0,3999,Darksiders III,14.18,18.98,31.4
1476970,Legends of IdleOn - Idle MMO,RPG,[],"1,000,000 .. 2,000,000",0,0,,,,
2100,Dark Messiah of Might & Magic,RPG,[],"1,000,000 .. 2,000,000",0,999,,,,
228280,Baldur's Gate: Enhanced Edition,RPG,[],"1,000,000 .. 2,000,000",0,1999,Baldur's Gate: Enhanced Edition,31.19,54.25,95.38
629730,Blade and Sorcery,RPG,[],"1,000,000 .. 2,000,000",0,2999,Blade & Sorcery,9.64,21.09,55.53
113420,Fallen Earth Free2Play,RPG,[],"1,000,000 .. 2,000,000",0,0,,,,
269210,Hero Siege,RPG,[],"1,000,000 .. 2,000,000",0,799,Hero Siege,10.01,34.12,108.45
638970,Yakuza 0,RPG,[],"1,000,000 .. 2,000,000",0,1099,Yakuza 0,31.56,64.21,144.72
582160,Assassin's Creed Origins,RPG,[],"1,000,000 .. 2,000,000",0,5999,Assassin's Creed Origins,30.16,52.57,85.56
22320,The Elder Scrolls III: Morrowind Game of the Year Edition,RPG,[],"1,000,000 .. 2,000,000",0,1499,The Elder Scrolls III: Morrowind - Game of the Year Edition,46.13,98.33,329.01
442080,Riders of Icarus,RPG,[],"1,000,000 .. 2,000,000",0,0,Riders of Icarus,70.0,80.0,115.0
1627140,Sabre Team,RPG,[],"1,000,000 .. 2,000,000",0,244,Sabre Team,0.0,0.0,0.0
537180,Digimon Masters Online,RPG,[],"1,000,000 .. 2,000,000",0,0,Digimon Masters Online,0.0,100.0,0.0
1343370,Old School RuneScape,RPG,[],"1,000,000 .. 2,000,000",0,0,RuneScape,532.91,2580.0,5647.83
2527500,MiSide,RPG,[],"1,000,000 .. 2,000,000",0,1199,MiSide,4.21,5.05,8.35
24980,Mass Effect 2 (2010 Edition),RPG,[],"1,000,000 .. 2,000,000",0,0,,,,
47810,Dragon Age: Origins - Ultimate Edition,RPG,[],"1,000,000 .. 2,000,000",0,2999,Dragon Age: Origins - Ultimate Edition,49.42,70.86,104.29
280790,Creativerse,RPG,[],"1,000,000 .. 2,000,000",0,2499,Creativerse,25.38,29.35,52.0
424370,Wolcen: Lords of Mayhem,RPG,[],"1,000,000 .. 2,000,000",0,2999,Wolcen: Lords of Mayhem,17.3,31.48,54.98
851850,DRAGON BALL Z: KAKAROT,RPG,[],"1,000,000 .. 2,000,000",0,1499,Dragon Ball Z: Kakarot,30.46,42.13,55.9
2622000,Astral Party ,RPG,[],"1,000,000 .. 2,000,000",0,0,,,,
247080,Crypt of the NecroDancer,RPG,[],"1,000,000 .. 2,000,000",0,1499,Crypt of the NecroDancer,14.02,26.1,393.35
438040,Shakes and Fidget,RPG,[],"1,000,000 .. 2,000,000",0,0,Shakes and Fidget,7.6,0.0,791.25
24200,DC Universe Online,RPG,[],"1,000,000 .. 2,000,000",0,0,DC Universe Online,74.77,115.42,222.69
692850,Bloodstained: Ritual of the Night,RPG,[],"1,000,000 .. 2,000,000",0,3999,Bloodstained: Ritual of the Night,14.05,20.66,35.5
1282100,REMNANT II,RPG,[],"1,000,000 .. 2,000,000",0,4999,Remnant II,18.29,29.24,81.13
979690,The Ascent,RPG,[],"1,000,000 .. 2,000,000",0,2999,The Ascent,11.98,18.83,26.22
232050,Eador. Masters of the Broken World,RPG,[],"1,000,000 .. 2,000,000",0,1999,,,,
253980,Enclave,RPG,[],"1,000,000 .. 2,000,000",0,499,Enclave,8.33,12.26,15.67
34270,SEGA Mega Drive and Genesis Classics,RPG,[],"1,000,000 .. 2,000,000",0,0,,,,
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,RPG,[],"1,000,000 .. 2,000,000",0,1999,S.T.A.L.K.E.R.: Shadow of Chernobyl,15.02,24.23,41.24
834910,ATLAS,RPG,[],"1,000,000 .. 2,000,000",0,2999,Atlas,18.0,0.0,0.0
1284410,GWENT: The Witcher Card Game,RPG,[],"1,000,000 .. 2,000,000",0,0,Gwent: The Witcher Card Game,60.85,82.65,353.33
237930,Transistor,RPG,[],"1,000,000 .. 2,000,000",0,1999,Transistor,5.99,8.39,15.78
113200,The Binding of Isaac,RPG,[],"1,000,000 .. 2,000,000",0,499,The Binding of Isaac,10.88,50.11,141.71
599140,Graveyard Keeper,RPG,[],"1,000,000 .. 2,000,000",0,1999,Graveyard Keeper,45.96,56.57,72.73
373420,Divinity: Original Sin - Enhanced Edition,RPG,[],"1,000,000 .. 2,000,000",0,3999,Divinity: Original Sin - Enhanced Edition,60.27,83.14,108.8
1621690,Core Keeper,RPG,[],"1,000,000 .. 2,000,000",0,1399,Core Keeper,36.71,51.06,130.93
311860,Data Hacker: Initiation,RPG,[],"1,000,000 .. 2,000,000",0,199,Data Hacker: Initiation,25.5,30.35,76.96
942970,Unheard - Voices of Crime,RPG,[],"1,000,000 .. 2,000,000",0,699,Unheard - Voices of Crime,4.1,5.83,7.48
41500,Torchlight,RPG,[],"1,000,000 .. 2,000,000",0,1499,Torchlight,14.19,21.45,48.79
23310,The Last Remnant,RPG,[],"1,000,000 .. 2,000,000",0,0,The Last Remnant,62.91,74.71,148.32
2322560,Love Is All Around,RPG,[],"1,000,000 .. 2,000,000",0,999,Love Is All Around,5.37,6.72,14.7
2344520,Diablo IV,RPG,[],"1,000,000 .. 2,000,000",0,4999,Diablo IV,25.79,48.98,191.44
216150,MapleStory,RPG,[],"1,000,000 .. 2,000,000",0,0,MapleStory,689.17,718.14,1122.05
378540,The Surge,RPG,[],"1,000,000 .. 2,000,000",0,194,The Surge,20.87,28.99,49.95
527430,"Warhammer 40,000: Inquisitor - Martyr",RPG,[],"1,000,000 .. 2,000,000",0,4999,"Warhammer 40,000: Inquisitor - Martyr",22.74,33.07,115.91
206480,Dungeons & Dragons Online,RPG,[],"1,000,000 .. 2,000,000",0,0,Dungeons & Dragons Online,100.0,145.0,0.0
215080,WAKFU,RPG,[],"1,000,000 .. 2,000,000",0,0,Wakfu,10.0,359.91,0.0
332070,School of Dragons,RPG,[],"1,000,000 .. 2,000,000",0,0,School of Dragons: How to Train Your Dragon,0.0,0.0,0.0
1282730,Loop Hero,RPG,[],"1,000,000 .. 2,000,000",0,1499,Loop Hero,28.55,37.01,54.7
32800,Lord of the Rings: War in the North,RPG,[],"1,000,000 .. 2,000,000",0,0,The Lord of the Rings: War in the North,12.1,15.66,29.32
102500,Kingdoms of Amalur: Reckoning,RPG,[],"1,000,000 .. 2,000,000",0,0,Kingdoms of Amalur: Reckoning,31.32,58.05,104.64
17460,Mass Effect (2007),RPG,[],"1,000,000 .. 2,000,000",0,2999,,,,
297000,Heroes of Might & Magic III - HD Edition,RPG,[],"1,000,000 .. 2,000,000",0,1499,,,,
